source,field,token,feature,odds_ratio,pvalue,n_improve,n_worsen,n_total_improve,n_total_worsen,fdr_bh,minus_log10_p,minus_log10_fdr
raw_token,raw_token,CYCLIN-G-ASSOCIATED KINASE,rawtok_CYCLIN_G_ASSOCIATED_KINASE,inf,0.08225108225108226,4,0,20,16,0.8688606332585391,1.0848583789393154,0.06104987954761852
raw_token,raw_token,DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 5,rawtok_DUAL_SPECIFICITY_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_5,inf,0.08225108225108226,4,0,20,16,0.8688606332585391,1.0848583789393154,0.06104987954761852
raw_token,raw_token,EPHRIN TYPE-B RECEPTOR 6,rawtok_EPHRIN_TYPE_B_RECEPTOR_6,inf,0.08225108225108226,4,0,20,16,0.8688606332585391,1.0848583789393154,0.06104987954761852
raw_token,raw_token,RECEPTOR TYROSINE-PROTEIN KINASE ERBB-2,rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_2,inf,0.08225108225108226,4,0,20,16,0.8688606332585391,1.0848583789393154,0.06104987954761852
raw_token,raw_token,CASEIN KINASE I ISOFORM EPSILON,rawtok_CASEIN_KINASE_I_ISOFORM_EPSILON,inf,0.15966386554621848,3,0,20,16,0.8688606332585391,0.7967933604397018,0.06104987954761852
raw_token,raw_token,HOMEODOMAIN-INTERACTING PROTEIN KINASE 4,rawtok_HOMEODOMAIN_INTERACTING_PROTEIN_KINASE_4,inf,0.15966386554621848,3,0,20,16,0.8688606332585391,0.7967933604397018,0.06104987954761852
raw_token,raw_token,INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 1,rawtok_INTERLEUKIN_1_RECEPTOR_ASSOCIATED_KINASE_1,inf,0.15966386554621848,3,0,20,16,0.8688606332585391,0.7967933604397018,0.06104987954761852
raw_token,raw_token,MELANOCORTIN RECEPTOR 3,rawtok_MELANOCORTIN_RECEPTOR_3,inf,0.15966386554621848,3,0,20,16,0.8688606332585391,0.7967933604397018,0.06104987954761852
raw_token,raw_token,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 19,rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_19,inf,0.15966386554621848,3,0,20,16,0.8688606332585391,0.7967933604397018,0.06104987954761852
raw_token,raw_token,TYROSINE-PROTEIN KINASE RECEPTOR UFO,rawtok_TYROSINE_PROTEIN_KINASE_RECEPTOR_UFO,inf,0.15966386554621848,3,0,20,16,0.8688606332585391,0.7967933604397018,0.06104987954761852
raw_token,raw_token,TYROSINE-PROTEIN KINASE TXK,rawtok_TYROSINE_PROTEIN_KINASE_TXK,inf,0.15966386554621848,3,0,20,16,0.8688606332585391,0.7967933604397018,0.06104987954761852
raw_token,raw_token,BILE SALT EXPORT PUMP,rawtok_BILE_SALT_EXPORT_PUMP,3.75,0.24675324675324675,4,1,20,16,0.8688606332585391,0.6077371242196529,0.06104987954761852
raw_token,raw_token,MITOGEN-ACTIVATED PROTEIN KINASE 10,rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_10,3.75,0.24675324675324675,4,1,20,16,0.8688606332585391,0.6077371242196529,0.06104987954761852
raw_token,raw_token,2 AND 3 INHIBITOR,rawtok_2_AND_3_INHIBITOR,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,ALPHA-2B ADRENERGIC RECEPTOR,rawtok_ALPHA_2B_ADRENERGIC_RECEPTOR,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,APOPTOSIS REGULATOR BCL-2,rawtok_APOPTOSIS_REGULATOR_BCL_2,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,BETA-1 ADRENERGIC RECEPTOR,rawtok_BETA_1_ADRENERGIC_RECEPTOR,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,CASEIN KINASE I ISOFORM DELTA,rawtok_CASEIN_KINASE_I_ISOFORM_DELTA,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE 2,rawtok_DUAL_SPECIFICITY_TYROSINE_PHOSPHORYLATION_REGULATED_KINASE_2,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,EGFR,rawtok_EGFR,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,EGFR SIGNALING,rawtok_EGFR_SIGNALING,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,ERK MAPK SIGNALING,rawtok_ERK_MAPK_SIGNALING,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,"FERROCHELATASE, MITOCHONDRIAL",rawtok_FERROCHELATASE_MITOCHONDRIAL,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 3,rawtok_INTERLEUKIN_1_RECEPTOR_ASSOCIATED_KINASE_3,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,LIM DOMAIN KINASE 1,rawtok_LIM_DOMAIN_KINASE_1,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 3,rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_3,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,"MYOSIN LIGHT CHAIN KINASE 2, SKELETAL/CARDIAC MUSCLE",rawtok_MYOSIN_LIGHT_CHAIN_KINASE_2_SKELETAL_CARDIAC_MUSCLE,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,NON-RECEPTOR TYROSINE-PROTEIN KINASE TYK2,rawtok_NON_RECEPTOR_TYROSINE_PROTEIN_KINASE_TYK2,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,NUAK FAMILY SNF1-LIKE KINASE 2,rawtok_NUAK_FAMILY_SNF1_LIKE_KINASE_2,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,PARP1,rawtok_PARP1,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,PARP2,rawtok_PARP2,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,PARP 1,rawtok_PARP_1,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,"PARP 1, 2 AND 3 INHIBITOR",rawtok_PARP_1_2_AND_3_INHIBITOR,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,PHOSPHATIDYLINOSITOL 3-KINASE CATALYTIC SUBUNIT TYPE 3,rawtok_PHOSPHATIDYLINOSITOL_3_KINASE_CATALYTIC_SUBUNIT_TYPE_3,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,PHOSPHATIDYLINOSITOL 4-PHOSPHATE 3-KINASE C2 DOMAIN-CONTAINING SUBUNIT ALPHA,rawtok_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_C2_DOMAIN_CONTAINING_SUBUNIT_A,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,PHOSPHATIDYLINOSITOL 4-PHOSPHATE 3-KINASE C2 DOMAIN-CONTAINING SUBUNIT BETA,rawtok_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_C2_DOMAIN_CONTAINING_SUBUNIT_B,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,"PHOSPHORYLASE B KINASE GAMMA CATALYTIC CHAIN, LIVER/TESTIS ISOFORM",rawtok_PHOSPHORYLASE_B_KINASE_GAMMA_CATALYTIC_CHAIN_LIVER_TESTIS_ISOFORM,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,"PHOSPHORYLASE B KINASE GAMMA CATALYTIC CHAIN, SKELETAL MUSCLE/HEART ISOFORM",rawtok_PHOSPHORYLASE_B_KINASE_GAMMA_CATALYTIC_CHAIN_SKELETAL_MUSCLE_HEART_ISOFO,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,PI3K (CLASS 1),rawtok_PI3K_CLASS_1,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,PI3-KINASE CLASS I INHIBITOR,rawtok_PI3_KINASE_CLASS_I_INHIBITOR,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,POLY [ADP-RIBOSE] POLYMERASE 1,rawtok_POLY_ADP_RIBOSE_POLYMERASE_1,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
raw_token,raw_token,POLY [ADP-RIBOSE] POLYMERASE 2,rawtok_POLY_ADP_RIBOSE_POLYMERASE_2,inf,0.30158730158730157,2,0,20,16,0.8688606332585391,0.5205869485007528,0.06104987954761852
