source,field,token,odds_ratio,pvalue,n_worsen,n_with_token,n_total,fdr_bh,minus_log10_p,minus_log10_fdr
theme,theme,CHROMATIN_EPIGENETIC,3.0833333333333335,0.14398517173211955,4,8,57,0.9765033758577351,0.8416822312832745,0.010326250979453205
theme,theme,PROTEOSTASIS,1.8095238095238095,0.43404394347790565,2,5,57,0.9765033758577351,0.36246629941867475,0.010326250979453205
theme,theme,DNA_REPLICATION_GENOME_INTEGRITY,1.375,0.4497634132982257,4,12,57,0.9765033758577351,0.34701587582112503,0.010326250979453205
theme,theme,PI3K_AKT_MTOR,1.3214285714285714,0.5456723569931117,2,6,57,0.9765033758577351,0.26306804641739134,0.010326250979453205
theme,theme,APOPTOSIS_BCL2,1.3,0.6356801093643198,1,3,57,0.9765033758577351,0.19676137757137574,0.010326250979453205
theme,theme,ERBB_EGFR_FAMILY_RTK,0.9090909090909091,0.6751774114500758,4,15,57,0.9765033758577351,0.1705820957761901,0.010326250979453205
theme,theme,ION_CHANNEL_TRANSPORTER,0.9090909090909091,0.6751774114500758,4,15,57,0.9765033758577351,0.1705820957761901,0.010326250979453205
theme,theme,SER_THR_KINASE_SIGNALING,0.8205128205128205,0.7271512434411915,3,12,57,0.9765033758577351,0.13837524889270167,0.010326250979453205
theme,theme,CELL_CYCLE_MITOSIS_KINASE,0.7153846153846154,0.786327313871691,3,13,57,0.9765033758577351,0.10439663841522182,0.010326250979453205
theme,theme,MET_HGF_RTK,0.6938775510204082,0.7911272913968331,2,9,57,0.9765033758577351,0.1017536334383522,0.010326250979453205
theme,theme,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,0.6293706293706294,0.8355999510276647,3,14,57,0.9765033758577351,0.07800159414459595,0.010326250979453205
theme,theme,PARP_DNA_REPAIR_CHECKPOINT,0.5576923076923077,0.8757055859220619,3,15,57,0.9765033758577351,0.05764188002009461,0.010326250979453205
theme,theme,RTK_SIGNALING_BROAD,0.5079365079365079,0.8856585749514578,2,11,57,0.9765033758577351,0.052733668171617995,0.010326250979453205
theme,theme,JNK_P38_STRESS_MAPK,0.3888888888888889,0.9149654144104754,1,7,57,0.9765033758577351,0.03859532190575252,0.010326250979453205
theme,theme,SRC_LCK_NONRECEPTOR_TK,0.38961038961038963,0.9411841735047511,2,13,57,0.9765033758577351,0.026325384319373382,0.010326250979453205
theme,theme,EPH_RECEPTOR_SIGNALING,0.275,0.9610576305994095,1,9,57,0.9765033758577351,0.017250568730137625,0.010326250979453205
theme,theme,MAP2K_MEK_ERK_RAF_CASCADE,0.3257918552036199,0.9765033758577351,3,20,57,0.9765033758577351,0.010326250979453205,0.010326250979453205
