source,field,token,odds_ratio,pvalue,n_worsen,n_improve,n_total_worsen,n_total_improve,fdr_bh,minus_log10_p,minus_log10_fdr
theme,theme,PROTEOSTASIS,2.7142857142857144,0.41456582633053213,2,1,16,20,0.9612532443455691,0.3824065007172359,0.01716218139181264
theme,theme,CHROMATIN_EPIGENETIC,1.3333333333333333,0.514224559274615,4,4,16,20,0.9612532443455691,0.288847185369668,0.01716218139181264
theme,theme,DNA_REPLICATION_GENOME_INTEGRITY,1.3333333333333333,0.514224559274615,4,4,16,20,0.9612532443455691,0.288847185369668,0.01716218139181264
theme,theme,CELL_CYCLE_MITOSIS_KINASE,1.3076923076923077,0.5542521994134897,3,3,16,20,0.9612532443455691,0.2562925748192536,0.01716218139181264
theme,theme,PI3K_AKT_MTOR,1.2857142857142858,0.6080977845683728,2,2,16,20,0.9612532443455691,0.21602657881308673,0.01716218139181264
theme,theme,ERBB_EGFR_FAMILY_RTK,1.0,0.6474365456567904,4,5,16,20,0.9612532443455691,0.18880278975098647,0.01716218139181264
theme,theme,SER_THR_KINASE_SIGNALING,0.9230769230769231,0.6935483870967742,3,4,16,20,0.9612532443455691,0.1589232339186673,0.01716218139181264
theme,theme,PARP_DNA_REPAIR_CHECKPOINT,0.6923076923076923,0.8011426837900698,3,5,16,20,0.9612532443455691,0.09629012902911567,0.01716218139181264
theme,theme,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,0.6923076923076923,0.8011426837900698,3,5,16,20,0.9612532443455691,0.09629012902911567,0.01716218139181264
theme,theme,APOPTOSIS_BCL2,0.6,0.8403361344537815,1,2,16,20,0.9612532443455691,0.07554696139253075,0.01716218139181264
theme,theme,RTK_SIGNALING_BROAD,0.5714285714285714,0.8527440301633851,2,4,16,20,0.9612532443455691,0.0691813122913362,0.01716218139181264
theme,theme,MET_HGF_RTK,0.42857142857142855,0.9164222873900294,2,5,16,20,0.9612532443455691,0.03790435731240366,0.01716218139181264
theme,theme,SRC_LCK_NONRECEPTOR_TK,0.42857142857142855,0.9164222873900294,2,5,16,20,0.9612532443455691,0.03790435731240366,0.01716218139181264
theme,theme,ION_CHANNEL_TRANSPORTER,0.4074074074074074,0.9455979895356981,4,9,16,20,0.9612532443455691,0.024293459828387313,0.01716218139181264
theme,theme,EPH_RECEPTOR_SIGNALING,0.26666666666666666,0.9588744588744589,1,4,16,20,0.9612532443455691,0.018238249333055942,0.01716218139181264
theme,theme,JNK_P38_STRESS_MAPK,0.26666666666666666,0.9588744588744589,1,4,16,20,0.9612532443455691,0.018238249333055942,0.01716218139181264
theme,theme,MAP2K_MEK_ERK_RAF_CASCADE,0.34615384615384615,0.9612532443455691,3,8,16,20,0.9612532443455691,0.01716218139181264,0.01716218139181264
