source,field,token,feature,odds_ratio,pvalue,n_improve,n_with_token,n_total,fdr_bh,minus_log10_p,minus_log10_fdr
raw_token,raw_token,BILE SALT EXPORT PUMP,rawtok_BILE_SALT_EXPORT_PUMP,9.0,0.04651637670505595,4,5,57,1.0,1.3323941210778143,-0.0
raw_token,raw_token,RECEPTOR TYROSINE-PROTEIN KINASE ERBB-2,rawtok_RECEPTOR_TYROSINE_PROTEIN_KINASE_ERBB_2,4.375,0.10579671900426615,4,6,57,1.0,0.9755278005469304,-0.0
raw_token,raw_token,CASEIN KINASE I ISOFORM EPSILON,rawtok_CASEIN_KINASE_I_ISOFORM_EPSILON,6.352941176470588,0.11904761904761905,3,4,57,1.0,0.9242792860618816,-0.0
raw_token,raw_token,MELANOCORTIN RECEPTOR 3,rawtok_MELANOCORTIN_RECEPTOR_3,6.352941176470588,0.11904761904761905,3,4,57,1.0,0.9242792860618816,-0.0
raw_token,raw_token,ALPHA-2B ADRENERGIC RECEPTOR,rawtok_ALPHA_2B_ADRENERGIC_RECEPTOR,inf,0.11904761904761907,2,2,57,1.0,0.9242792860618816,-0.0
raw_token,raw_token,APOPTOSIS REGULATOR BCL-2,rawtok_APOPTOSIS_REGULATOR_BCL_2,inf,0.11904761904761907,2,2,57,1.0,0.9242792860618816,-0.0
raw_token,raw_token,BETA-1 ADRENERGIC RECEPTOR,rawtok_BETA_1_ADRENERGIC_RECEPTOR,inf,0.11904761904761907,2,2,57,1.0,0.9242792860618816,-0.0
raw_token,raw_token,EGFR,rawtok_EGFR,inf,0.11904761904761907,2,2,57,1.0,0.9242792860618816,-0.0
raw_token,raw_token,EGFR SIGNALING,rawtok_EGFR_SIGNALING,inf,0.11904761904761907,2,2,57,1.0,0.9242792860618816,-0.0
raw_token,raw_token,PHOSPHATIDYLINOSITOL 3-KINASE CATALYTIC SUBUNIT TYPE 3,rawtok_PHOSPHATIDYLINOSITOL_3_KINASE_CATALYTIC_SUBUNIT_TYPE_3,inf,0.11904761904761907,2,2,57,1.0,0.9242792860618816,-0.0
raw_token,raw_token,PHOSPHATIDYLINOSITOL 4-PHOSPHATE 3-KINASE C2 DOMAIN-CONTAINING SUBUNIT ALPHA,rawtok_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_C2_DOMAIN_CONTAINING_SUBUNIT_A,inf,0.11904761904761907,2,2,57,1.0,0.9242792860618816,-0.0
raw_token,raw_token,PI3K (CLASS 1),rawtok_PI3K_CLASS_1,inf,0.11904761904761907,2,2,57,1.0,0.9242792860618816,-0.0
raw_token,raw_token,PI3-KINASE CLASS I INHIBITOR,rawtok_PI3_KINASE_CLASS_I_INHIBITOR,inf,0.11904761904761907,2,2,57,1.0,0.9242792860618816,-0.0
raw_token,raw_token,HEPATOCYTE GROWTH FACTOR RECEPTOR,rawtok_HEPATOCYTE_GROWTH_FACTOR_RECEPTOR,2.75,0.15356970073951207,5,9,57,1.0,0.8136944620366963,-0.0
raw_token,raw_token,VOLTAGE-GATED INWARDLY RECTIFYING POTASSIUM CHANNEL KCNH2,rawtok_VOLTAGE_GATED_INWARDLY_RECTIFYING_POTASSIUM_CHANNEL_KCNH2,2.75,0.15356970073951207,5,9,57,1.0,0.8136944620366963,-0.0
raw_token,raw_token,CYCLIN-G-ASSOCIATED KINASE,rawtok_CYCLIN_G_ASSOCIATED_KINASE,2.8333333333333335,0.18716189470906447,4,7,57,1.0,0.7277825669339799,-0.0
raw_token,raw_token,EPHRIN TYPE-B RECEPTOR 6,rawtok_EPHRIN_TYPE_B_RECEPTOR_6,2.8333333333333335,0.18716189470906447,4,7,57,1.0,0.7277825669339799,-0.0
raw_token,raw_token,MITOGEN-ACTIVATED PROTEIN KINASE 10,rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_10,2.8333333333333335,0.18716189470906447,4,7,57,1.0,0.7277825669339799,-0.0
raw_token,raw_token,SODIUM-DEPENDENT DOPAMINE TRANSPORTER,rawtok_SODIUM_DEPENDENT_DOPAMINE_TRANSPORTER,2.8333333333333335,0.18716189470906447,4,7,57,1.0,0.7277825669339799,-0.0
raw_token,raw_token,ADENOSINE RECEPTOR A3,rawtok_ADENOSINE_RECEPTOR_A3,3.088235294117647,0.2278444825614637,3,5,57,1.0,0.6423614837465453,-0.0
raw_token,raw_token,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE 1B,rawtok_DUAL_SPECIFICITY_TYROSINE_PHOSPHORYLATION_REGULATED_KINASE_1B,3.088235294117647,0.2278444825614637,3,5,57,1.0,0.6423614837465453,-0.0
raw_token,raw_token,HISTONE DEACETYLASE 6,rawtok_HISTONE_DEACETYLASE_6,3.088235294117647,0.2278444825614637,3,5,57,1.0,0.6423614837465453,-0.0
raw_token,raw_token,INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 1,rawtok_INTERLEUKIN_1_RECEPTOR_ASSOCIATED_KINASE_1,3.088235294117647,0.2278444825614637,3,5,57,1.0,0.6423614837465453,-0.0
raw_token,raw_token,MUSCARINIC ACETYLCHOLINE RECEPTOR M2,rawtok_MUSCARINIC_ACETYLCHOLINE_RECEPTOR_M2,3.088235294117647,0.2278444825614637,3,5,57,1.0,0.6423614837465453,-0.0
raw_token,raw_token,TYROSINE-PROTEIN KINASE RECEPTOR UFO,rawtok_TYROSINE_PROTEIN_KINASE_RECEPTOR_UFO,3.088235294117647,0.2278444825614637,3,5,57,1.0,0.6423614837465453,-0.0
raw_token,raw_token,TYROSINE-PROTEIN KINASE TXK,rawtok_TYROSINE_PROTEIN_KINASE_TXK,3.088235294117647,0.2278444825614637,3,5,57,1.0,0.6423614837465453,-0.0
raw_token,raw_token,2 AND 3 INHIBITOR,rawtok_2_AND_3_INHIBITOR,4.0,0.2792207792207792,2,3,57,1.0,0.5540522652568766,-0.0
raw_token,raw_token,CASEIN KINASE I ISOFORM DELTA,rawtok_CASEIN_KINASE_I_ISOFORM_DELTA,4.0,0.2792207792207792,2,3,57,1.0,0.5540522652568766,-0.0
raw_token,raw_token,CYTOCHROME P450 1A2,rawtok_CYTOCHROME_P450_1A2,4.0,0.2792207792207792,2,3,57,1.0,0.5540522652568766,-0.0
raw_token,raw_token,CYTOCHROME P450 2C9,rawtok_CYTOCHROME_P450_2C9,4.0,0.2792207792207792,2,3,57,1.0,0.5540522652568766,-0.0
raw_token,raw_token,"FERROCHELATASE, MITOCHONDRIAL",rawtok_FERROCHELATASE_MITOCHONDRIAL,4.0,0.2792207792207792,2,3,57,1.0,0.5540522652568766,-0.0
raw_token,raw_token,INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 3,rawtok_INTERLEUKIN_1_RECEPTOR_ASSOCIATED_KINASE_3,4.0,0.2792207792207792,2,3,57,1.0,0.5540522652568766,-0.0
raw_token,raw_token,MITOGEN-ACTIVATED PROTEIN KINASE 14,rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_14,4.0,0.2792207792207792,2,3,57,1.0,0.5540522652568766,-0.0
raw_token,raw_token,"MYOSIN LIGHT CHAIN KINASE 2, SKELETAL/CARDIAC MUSCLE",rawtok_MYOSIN_LIGHT_CHAIN_KINASE_2_SKELETAL_CARDIAC_MUSCLE,4.0,0.2792207792207792,2,3,57,1.0,0.5540522652568766,-0.0
raw_token,raw_token,PARP 1,rawtok_PARP_1,4.0,0.2792207792207792,2,3,57,1.0,0.5540522652568766,-0.0
raw_token,raw_token,"PARP 1, 2 AND 3 INHIBITOR",rawtok_PARP_1_2_AND_3_INHIBITOR,4.0,0.2792207792207792,2,3,57,1.0,0.5540522652568766,-0.0
raw_token,raw_token,PHOSPHATIDYLINOSITOL 4-PHOSPHATE 3-KINASE C2 DOMAIN-CONTAINING SUBUNIT BETA,rawtok_PHOSPHATIDYLINOSITOL_4_PHOSPHATE_3_KINASE_C2_DOMAIN_CONTAINING_SUBUNIT_B,4.0,0.2792207792207792,2,3,57,1.0,0.5540522652568766,-0.0
raw_token,raw_token,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP12,rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP12,4.0,0.2792207792207792,2,3,57,1.0,0.5540522652568766,-0.0
raw_token,raw_token,PROTEIN MONO-ADP-RIBOSYLTRANSFERASE PARP14,rawtok_PROTEIN_MONO_ADP_RIBOSYLTRANSFERASE_PARP14,4.0,0.2792207792207792,2,3,57,1.0,0.5540522652568766,-0.0
