source,field,token,feature,odds_ratio,pvalue,n_worsen,n_improve,n_total_worsen,n_total_improve,fdr_bh,minus_log10_p,minus_log10_fdr
raw_token,raw_token,GLYCOGEN SYNTHASE KINASE-3 BETA,rawtok_GLYCOGEN_SYNTHASE_KINASE_3_BETA,inf,0.07843137254901959,3,0,16,20,1.0,1.105510184769974,-0.0
raw_token,raw_token,"3',5'-CYCLIC-AMP PHOSPHODIESTERASE 4A",rawtok_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_4A,inf,0.19047619047619044,2,0,16,20,1.0,0.720159303405957,-0.0
raw_token,raw_token,BDNF/NT-3 GROWTH FACTORS RECEPTOR,rawtok_BDNF_NT_3_GROWTH_FACTORS_RECEPTOR,inf,0.19047619047619044,2,0,16,20,1.0,0.720159303405957,-0.0
raw_token,raw_token,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT BETA,rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_II_SUBUNIT_BETA,inf,0.19047619047619044,2,0,16,20,1.0,0.720159303405957,-0.0
raw_token,raw_token,CYCLIN-DEPENDENT KINASE 5,rawtok_CYCLIN_DEPENDENT_KINASE_5,inf,0.19047619047619044,2,0,16,20,1.0,0.720159303405957,-0.0
raw_token,raw_token,MITOSIS,rawtok_MITOSIS,inf,0.19047619047619044,2,0,16,20,1.0,0.720159303405957,-0.0
raw_token,raw_token,PAIRED BOX PROTEIN PAX-8,rawtok_PAIRED_BOX_PROTEIN_PAX_8,inf,0.19047619047619044,2,0,16,20,1.0,0.720159303405957,-0.0
raw_token,raw_token,RHO-ASSOCIATED PROTEIN KINASE 2,rawtok_RHO_ASSOCIATED_PROTEIN_KINASE_2,inf,0.19047619047619044,2,0,16,20,1.0,0.720159303405957,-0.0
raw_token,raw_token,TUMOR NECROSIS FACTOR,rawtok_TUMOR_NECROSIS_FACTOR,inf,0.19047619047619044,2,0,16,20,1.0,0.720159303405957,-0.0
raw_token,raw_token,TYROSINE-PROTEIN KINASE RECEPTOR TYRO3,rawtok_TYROSINE_PROTEIN_KINASE_RECEPTOR_TYRO3,inf,0.19047619047619044,2,0,16,20,1.0,0.720159303405957,-0.0
raw_token,raw_token,BROMODOMAIN-CONTAINING PROTEIN 4,rawtok_BROMODOMAIN_CONTAINING_PROTEIN_4,2.7142857142857144,0.41456582633053213,2,1,16,20,1.0,0.3824065007172359,-0.0
raw_token,raw_token,MU-TYPE OPIOID RECEPTOR,rawtok_MU_TYPE_OPIOID_RECEPTOR,2.7142857142857144,0.41456582633053213,2,1,16,20,1.0,0.3824065007172359,-0.0
raw_token,raw_token,PLATELET-DERIVED GROWTH FACTOR RECEPTOR ALPHA,rawtok_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_ALPHA,2.7142857142857144,0.41456582633053213,2,1,16,20,1.0,0.3824065007172359,-0.0
raw_token,raw_token,TYROSINE-PROTEIN KINASE FYN,rawtok_TYROSINE_PROTEIN_KINASE_FYN,2.7142857142857144,0.41456582633053213,2,1,16,20,1.0,0.3824065007172359,-0.0
raw_token,raw_token,CYTOCHROME P450 3A4,rawtok_CYTOCHROME_P450_3A4,1.3076923076923077,0.5542521994134897,3,3,16,20,1.0,0.2562925748192536,-0.0
raw_token,raw_token,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE RECEPTOR RET,rawtok_PROTO_ONCOGENE_TYROSINE_PROTEIN_KINASE_RECEPTOR_RET,1.3076923076923077,0.5542521994134897,3,3,16,20,1.0,0.2562925748192536,-0.0
raw_token,raw_token,"3',5'-CYCLIC-AMP PHOSPHODIESTERASE 4D",rawtok_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_4D,1.2857142857142858,0.6080977845683728,2,2,16,20,1.0,0.21602657881308673,-0.0
raw_token,raw_token,DNA REPLICATION,rawtok_DNA_REPLICATION,1.2857142857142858,0.6080977845683728,2,2,16,20,1.0,0.21602657881308673,-0.0
raw_token,raw_token,DUAL SPECIFICITY PROTEIN KINASE TTK,rawtok_DUAL_SPECIFICITY_PROTEIN_KINASE_TTK,1.2857142857142858,0.6080977845683728,2,2,16,20,1.0,0.21602657881308673,-0.0
raw_token,raw_token,GENOME INTEGRITY,rawtok_GENOME_INTEGRITY,1.2857142857142858,0.6080977845683728,2,2,16,20,1.0,0.21602657881308673,-0.0
raw_token,raw_token,LEUKOCYTE TYROSINE KINASE RECEPTOR,rawtok_LEUKOCYTE_TYROSINE_KINASE_RECEPTOR,1.2857142857142858,0.6080977845683728,2,2,16,20,1.0,0.21602657881308673,-0.0
raw_token,raw_token,MITOGEN-ACTIVATED PROTEIN KINASE 8,rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_8,1.2857142857142858,0.6080977845683728,2,2,16,20,1.0,0.21602657881308673,-0.0
raw_token,raw_token,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE KINASE 4,rawtok_MITOGEN_ACTIVATED_PROTEIN_KINASE_KINASE_KINASE_KINASE_4,1.2857142857142858,0.6080977845683728,2,2,16,20,1.0,0.21602657881308673,-0.0
raw_token,raw_token,"PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE 3-KINASE CATALYTIC SUBUNIT ALPHA ISOFORM",rawtok_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_3_KINASE_CATALYTIC_SUBUNIT_ALPHA_I,1.2857142857142858,0.6080977845683728,2,2,16,20,1.0,0.21602657881308673,-0.0
raw_token,raw_token,"PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE 3-KINASE CATALYTIC SUBUNIT BETA ISOFORM",rawtok_PHOSPHATIDYLINOSITOL_4_5_BISPHOSPHATE_3_KINASE_CATALYTIC_SUBUNIT_BETA_IS,1.2857142857142858,0.6080977845683728,2,2,16,20,1.0,0.21602657881308673,-0.0
raw_token,raw_token,PROTO-ONCOGENE TYROSINE-PROTEIN KINASE SRC,rawtok_PROTO_ONCOGENE_TYROSINE_PROTEIN_KINASE_SRC,1.2857142857142858,0.6080977845683728,2,2,16,20,1.0,0.21602657881308673,-0.0
raw_token,raw_token,SERINE/THREONINE-PROTEIN KINASE D2,rawtok_SERINE_THREONINE_PROTEIN_KINASE_D2,1.2857142857142858,0.6080977845683728,2,2,16,20,1.0,0.21602657881308673,-0.0
raw_token,raw_token,SODIUM-DEPENDENT NORADRENALINE TRANSPORTER,rawtok_SODIUM_DEPENDENT_NORADRENALINE_TRANSPORTER,1.2857142857142858,0.6080977845683728,2,2,16,20,1.0,0.21602657881308673,-0.0
raw_token,raw_token,EPIDERMAL GROWTH FACTOR RECEPTOR,rawtok_EPIDERMAL_GROWTH_FACTOR_RECEPTOR,1.0,0.6474365456567904,4,5,16,20,1.0,0.18880278975098647,-0.0
raw_token,raw_token,5-HYDROXYTRYPTAMINE RECEPTOR 2B,rawtok_5_HYDROXYTRYPTAMINE_RECEPTOR_2B,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,ALK TYROSINE KINASE RECEPTOR,rawtok_ALK_TYROSINE_KINASE_RECEPTOR,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,ALPHA-2A ADRENERGIC RECEPTOR,rawtok_ALPHA_2A_ADRENERGIC_RECEPTOR,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,ANGIOPOIETIN-1 RECEPTOR,rawtok_ANGIOPOIETIN_1_RECEPTOR,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,ANKYRIN REPEAT AND PROTEIN KINASE DOMAIN-CONTAINING PROTEIN 1,rawtok_ANKYRIN_REPEAT_AND_PROTEIN_KINASE_DOMAIN_CONTAINING_PROTEIN_1,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,AURORA KINASE A,rawtok_AURORA_KINASE_A,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,BCL2,rawtok_BCL2,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,BMP-2-INDUCIBLE PROTEIN KINASE,rawtok_BMP_2_INDUCIBLE_PROTEIN_KINASE,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,BRD4,rawtok_BRD4,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT DELTA,rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_II_SUBUNIT_DELTA,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II SUBUNIT GAMMA,rawtok_CALCIUM_CALMODULIN_DEPENDENT_PROTEIN_KINASE_TYPE_II_SUBUNIT_GAMMA,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,CELL CYCLE,rawtok_CELL_CYCLE,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,CHROMATIN OTHER,rawtok_CHROMATIN_OTHER,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,CYCLIN-DEPENDENT KINASE 1,rawtok_CYCLIN_DEPENDENT_KINASE_1,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,DELTA-TYPE OPIOID RECEPTOR,rawtok_DELTA_TYPE_OPIOID_RECEPTOR,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,DISCOIDIN DOMAIN-CONTAINING RECEPTOR 2,rawtok_DISCOIDIN_DOMAIN_CONTAINING_RECEPTOR_2,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,DUAL SPECIFICITY PROTEIN KINASE CLK1,rawtok_DUAL_SPECIFICITY_PROTEIN_KINASE_CLK1,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,DUAL SPECIFICITY PROTEIN KINASE CLK2,rawtok_DUAL_SPECIFICITY_PROTEIN_KINASE_CLK2,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,D(3) DOPAMINE RECEPTOR,rawtok_D_3_DOPAMINE_RECEPTOR,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,EPHRIN TYPE-A RECEPTOR 1,rawtok_EPHRIN_TYPE_A_RECEPTOR_1,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,EPHRIN TYPE-A RECEPTOR 3,rawtok_EPHRIN_TYPE_A_RECEPTOR_3,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,EPHRIN TYPE-A RECEPTOR 5,rawtok_EPHRIN_TYPE_A_RECEPTOR_5,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,EPHRIN TYPE-A RECEPTOR 8,rawtok_EPHRIN_TYPE_A_RECEPTOR_8,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,EPHRIN TYPE-B RECEPTOR 1,rawtok_EPHRIN_TYPE_B_RECEPTOR_1,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,EPHRIN TYPE-B RECEPTOR 4,rawtok_EPHRIN_TYPE_B_RECEPTOR_4,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,EPITHELIAL DISCOIDIN DOMAIN-CONTAINING RECEPTOR 1,rawtok_EPITHELIAL_DISCOIDIN_DOMAIN_CONTAINING_RECEPTOR_1,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,EQUILIBRATIVE NUCLEOSIDE TRANSPORTER 1,rawtok_EQUILIBRATIVE_NUCLEOSIDE_TRANSPORTER_1,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
raw_token,raw_token,FIBROBLAST GROWTH FACTOR RECEPTOR 1,rawtok_FIBROBLAST_GROWTH_FACTOR_RECEPTOR_1,1.2666666666666666,0.6984126984126985,1,1,16,20,1.0,0.15588787296739423,-0.0
