source,field,token,odds_ratio,pvalue,n_improve,n_worsen,n_total_improve,n_total_worsen,fdr_bh,minus_log10_p,minus_log10_fdr
theme,theme,MAP2K_MEK_ERK_RAF_CASCADE,2.888888888888889,0.15616116672846372,8,3,20,16,0.8276515151515151,0.8064269549166201,0.08215248556339043
theme,theme,ION_CHANNEL_TRANSPORTER,2.4545454545454546,0.18668891360771225,9,4,20,16,0.8276515151515151,0.7288814715632544,0.08215248556339043
theme,theme,EPH_RECEPTOR_SIGNALING,3.75,0.24675324675324675,4,1,20,16,0.8276515151515151,0.6077371242196529,0.08215248556339043
theme,theme,JNK_P38_STRESS_MAPK,3.75,0.24675324675324675,4,1,20,16,0.8276515151515151,0.6077371242196529,0.08215248556339043
theme,theme,MET_HGF_RTK,2.3333333333333335,0.30645161290322576,5,2,20,16,0.8276515151515151,0.513638088545425,0.08215248556339043
theme,theme,SRC_LCK_NONRECEPTOR_TK,2.3333333333333335,0.30645161290322576,5,2,20,16,0.8276515151515151,0.513638088545425,0.08215248556339043
theme,theme,RTK_SIGNALING_BROAD,1.75,0.44574780058651015,4,2,20,16,0.8276515151515151,0.35091079104772527,0.08215248556339043
theme,theme,PARP_DNA_REPAIR_CHECKPOINT,1.4444444444444444,0.48577544072538514,5,3,20,16,0.8276515151515151,0.313564445535538,0.08215248556339043
theme,theme,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,1.4444444444444444,0.48577544072538514,5,3,20,16,0.8276515151515151,0.313564445535538,0.08215248556339043
theme,theme,APOPTOSIS_BCL2,1.6666666666666667,0.5854341736694677,2,1,20,16,0.8276515151515151,0.23252193000113924,0.08215248556339043
theme,theme,SER_THR_KINASE_SIGNALING,1.0833333333333333,0.6314760508308895,4,3,20,16,0.8276515151515151,0.19964311571707608,0.08215248556339043
theme,theme,ERBB_EGFR_FAMILY_RTK,1.0,0.6522904237031045,5,4,20,16,0.8276515151515151,0.18555899732210432,0.08215248556339043
theme,theme,CELL_CYCLE_MITOSIS_KINASE,0.7647058823529411,0.7735035363118855,3,3,20,16,0.8276515151515151,0.11153769644783608,0.08215248556339043
theme,theme,CHROMATIN_EPIGENETIC,0.75,0.7771766609363939,4,4,20,16,0.8276515151515151,0.10948024999033376,0.08215248556339043
theme,theme,DNA_REPLICATION_GENOME_INTEGRITY,0.75,0.7771766609363939,4,4,20,16,0.8276515151515151,0.10948024999033376,0.08215248556339043
theme,theme,PI3K_AKT_MTOR,0.7777777777777778,0.7789661319073083,2,2,20,16,0.8276515151515151,0.10848142428573958,0.08215248556339043
theme,theme,PROTEOSTASIS,0.3684210526315789,0.9215686274509804,1,2,20,16,0.9215686274509804,0.03547231816221887,0.03547231816221887
