source,field,token,odds_ratio,pvalue,n_improve,n_worsen,n_total_improve,n_total_worsen,fdr_bh,minus_log10_p,minus_log10_fdr
theme,theme,ERBB_EGFR_FAMILY_RTK,inf,0.08225108225108226,4,0,20,16,0.5448028673835125,1.0848583789393154,0.26376061532882505
theme,theme,RTK_SIGNALING_BROAD,inf,0.08225108225108226,4,0,20,16,0.5448028673835125,1.0848583789393154,0.26376061532882505
theme,theme,ION_CHANNEL_TRANSPORTER,2.888888888888889,0.15616116672846372,8,3,20,16,0.5448028673835125,0.8064269549166201,0.26376061532882505
theme,theme,MAP2K_MEK_ERK_RAF_CASCADE,2.888888888888889,0.15616116672846372,8,3,20,16,0.5448028673835125,0.8064269549166201,0.26376061532882505
theme,theme,JNK_P38_STRESS_MAPK,3.75,0.24675324675324675,4,1,20,16,0.5448028673835125,0.6077371242196529,0.26376061532882505
theme,theme,SER_THR_KINASE_SIGNALING,3.75,0.24675324675324675,4,1,20,16,0.5448028673835125,0.6077371242196529,0.26376061532882505
theme,theme,APOPTOSIS_BCL2,inf,0.30158730158730157,2,0,20,16,0.5448028673835125,0.5205869485007528,0.26376061532882505
theme,theme,MET_HGF_RTK,2.3333333333333335,0.30645161290322576,5,2,20,16,0.5448028673835125,0.513638088545425,0.26376061532882505
theme,theme,SRC_LCK_NONRECEPTOR_TK,2.3333333333333335,0.30645161290322576,5,2,20,16,0.5448028673835125,0.513638088545425,0.26376061532882505
theme,theme,VEGFR_FGFR_PDGFR_KIT_FLT_RTK,1.75,0.44574780058651015,4,2,20,16,0.7131964809384163,0.35091079104772527,0.1467908083918005
theme,theme,PI3K_AKT_MTOR,1.6666666666666667,0.5854341736694677,2,1,20,16,0.8515406162464985,0.23252193000113924,0.06979463250343952
theme,theme,DNA_REPLICATION_GENOME_INTEGRITY,0.7777777777777778,0.7789661319073083,2,2,20,16,0.9215686274509804,0.10848142428573958,0.03547231816221887
theme,theme,CHROMATIN_EPIGENETIC,0.7894736842105263,0.8095238095238095,1,1,20,16,0.9215686274509804,0.09177037335564533,0.03547231816221887
theme,theme,EPH_RECEPTOR_SIGNALING,0.7894736842105263,0.8095238095238095,1,1,20,16,0.9215686274509804,0.09177037335564533,0.03547231816221887
theme,theme,PARP_DNA_REPAIR_CHECKPOINT,0.48148148148148145,0.8918597742127155,2,3,20,16,0.9215686274509804,0.049703423732553424,0.03547231816221887
theme,theme,CELL_CYCLE_MITOSIS_KINASE,0.3684210526315789,0.9215686274509804,1,2,20,16,0.9215686274509804,0.03547231816221887,0.03547231816221887
